,state,year,value
433,Alaska,2018,737438
434,Arizona,2018,7171646
435,Arkansas,2018,3013825
436,California,2018,39557045
437,Colorado,2018,5695564
438,Connecticut,2018,3572665
439,Delaware,2018,967171
440,District of Columbia,2018,702455
441,Florida,2018,21299325
442,Georgia,2018,10519475
443,Guam,2018,165718
444,Hawaii,2018,1420491
445,Idaho,2018,1754208
446,Illinois,2018,12741080
447,Indiana,2018,6691878
448,Iowa,2018,3156145
449,Kansas,2018,2911505
450,Kentucky,2018,4468402
451,Louisiana,2018,4659978
452,Maine,2018,1338404
453,Maryland,2018,6042718
454,Massachusetts,2018,6902149
455,Michigan,2018,9995915
456,Minnesota,2018,5611179
457,Mississippi,2018,2986530
458,Missouri,2018,6126452
459,Montana,2018,1062305
460,Nebraska,2018,1929268
461,Nevada,2018,3034392
462,New Hampshire,2018,1356458
463,New Jersey,2018,8908520
464,New Mexico,2018,2095428
465,New York,2018,19542209
466,North Carolina,2018,10383620
467,North Dakota,2018,760077
468,Ohio,2018,11689442
469,Oklahoma,2018,3943079
470,Oregon,2018,4190713
471,Pennsylvania,2018,12807060
472,Rhode Island,2018,1057315
473,South Carolina,2018,5084127
474,South Dakota,2018,882235
475,Tennessee,2018,6770010
476,Texas,2018,28701845
477,Utah,2018,3161105
478,Vermont,2018,626299
479,Virginia,2018,8517685
480,Washington,2018,7535591
481,West Virginia,2018,1805832
482,Wisconsin,2018,5813568
483,Wyoming,2018,577737
484,U.S. Virgin Islands,2018,107282
485,Puerto Rico,2018,3195153
